Date,Facebook,Instagram,SoundCloud,Spotify,Twitter,YouTube
3/1/2020,9620499,21827724,2253030,15418745,23363379,24400000
10/1/2020,9661142,21918352,2262209,15568758,23491571,24600000
17/1/2020,9679511,21986792,2269314,15688508,23595524,24700000
24/1/2020,9698697,22008649,2276485,15875559,23698147,24900000
31/1/2020,9731299,22216408,2285434,16012999,23801737,25000000
7/2/2020,9759546,22437874,2291868,16146677,23900132,25200000
14/2/2020,9791336,22617584,2297643,16277951,23984368,25400000
21/2/2020,9834690,22828944,2303743,16447276,24063828,25500000
28/2/2020,9871934,23065350,2310745,16738020,24186007,25900000
6/3/2020,9916891,23261657,2316016,16895416,24304760,26200000
13/3/2020,9963424,23447122,2322506,17062973,24427091,26400000
20/3/2020,10000303,23630419,2328057,17198240,24484691,26500000
27/3/2020,10042929,23839069,2334271,17351472,24603682,26700000
3/4/2020,10084740,24054091,2340792,17500473,24717891,26900000
10/4/2020,10133115,24252410,2347818,17656836,24861431,27100000
17/4/2020,10184259,24512462,2357343,17811314,25014712,27600000
24/4/2020,10265620,24748648,2369847,17971217,25175519,28700000
1/5/2020,10313805,24966386,2378625,18098025,25328396,28800000
8/5/2020,10367296,25195140,2387882,18109367,25523965,29000000
15/5/2020,10426026,25307240,2397319,18269760,25673211,29300000
22/5/2020,10503079,25504167,2411445,18469121,25863611,29600000
29/5/2020,10555569,25600102,2456612,18656636,26025287,29800000
5/6/2020,10693087,25791278,2597347,18863036,26223711,30200000
12/6/2020,10793238,25997799,2695631,19064161,26387177,30800000
19/6/2020,10874036,26273787,2716294,19261034,26562860,31300000
26/6/2020,10941913,26455632,2733487,19498641,26695866,31700000
3/7/2020,11022480,26666214,2745998,19734560,26862323,32100000
10/7/2020,11100064,26880920,2757863,19900532,27034138,32400000
17/7/2020,11156061,27141615,2770787,20266502,27188858,32700000
24/7/2020,11226554,27368276,2781670,20571169,27333780,33000000
31/7/2020,11293044,27605508,2882019,20797012,27548441,33300000
7/8/2020,11390450,27813088,2907215,21156808,27731534,33600000
14/8/2020,11544511,28150530,2921125,21388228,27931119,34000000
21/8/2020,11653090,28477293,2933386,21629508,28167208,34500000
28/8/2020,11807733,28944411,2944728,21942691,28380257,35300000
