Date,platforms,number_of_fans
2020-01-03,Facebook,9620499
2020-01-10,Facebook,9661142
2020-01-17,Facebook,9679511
2020-01-24,Facebook,9698697
2020-01-31,Facebook,9731299
2020-02-07,Facebook,9759546
2020-02-14,Facebook,9791336
2020-02-21,Facebook,9834690
2020-02-28,Facebook,9871934
2020-03-06,Facebook,9916891
2020-03-13,Facebook,9963424
2020-03-20,Facebook,10000303
2020-03-27,Facebook,10042929
2020-04-03,Facebook,10084740
2020-04-10,Facebook,10133115
2020-04-17,Facebook,10184259
2020-04-24,Facebook,10265620
2020-05-01,Facebook,10313805
2020-05-08,Facebook,10367296
2020-05-15,Facebook,10426026
2020-05-22,Facebook,10503079
2020-05-29,Facebook,10555569
2020-06-05,Facebook,10693087
2020-06-12,Facebook,10793238
2020-06-19,Facebook,10874036
2020-06-26,Facebook,10941913
2020-07-03,Facebook,11022480
2020-07-10,Facebook,11100064
2020-07-17,Facebook,11156061
2020-07-24,Facebook,11226554
2020-07-31,Facebook,11293044
2020-08-07,Facebook,11390450
2020-08-14,Facebook,11544511
2020-08-21,Facebook,11653090
2020-08-28,Facebook,11807733
2020-09-04,Facebook,11930313
2020-09-11,Facebook,12004805
2020-09-18,Facebook,12074991
2020-09-25,Facebook,12147094
2020-10-02,Facebook,12234058
2020-10-09,Facebook,12320623
2020-10-16,Facebook,12440431
2020-10-23,Facebook,12528888
2020-10-30,Facebook,12634683
2020-11-06,Facebook,12686239
2020-11-13,Facebook,12788809
2020-11-20,Facebook,12862499
2020-11-27,Facebook,12959580
2020-12-04,Facebook,13040499
2020-12-11,Facebook,13126574
2020-12-18,Facebook,13197565
2020-12-25,Facebook,13336601
2021-01-01,Facebook,13351617
2021-01-08,Facebook,13414199
2021-01-15,Facebook,13466838
2021-01-22,Facebook,13512983
2021-01-29,Facebook,13573569
2021-02-05,Facebook,13641909
2021-02-12,Facebook,13693086
2021-02-19,Facebook,13757677
2021-02-26,Facebook,13816273
2021-03-05,Facebook,13867882
2021-03-12,Facebook,18326311
2021-03-19,Facebook,13953614
2021-03-26,Facebook,13973215
2021-04-02,Facebook,13990696
2021-04-09,Facebook,14000038
2021-04-16,Facebook,14005479
2021-04-23,Facebook,14017537
2021-04-30,Facebook,14033599
2021-05-07,Facebook,14044812
2021-05-14,Facebook,14060630
2021-05-21,Facebook,14089498
2021-05-28,Facebook,14169543
2021-06-04,Facebook,14246925
2021-06-11,Facebook,14313811
2021-06-18,Facebook,14373531
2021-06-25,Facebook,14424815
2021-07-02,Facebook,14462608
2021-07-09,Facebook,14525852
2021-07-16,Facebook,14588708
2021-07-23,Facebook,14643652
2021-07-30,Facebook,14694552
2021-08-06,Facebook,14734219
2021-08-13,Facebook,14767597
2021-08-20,Facebook,14791903
2021-08-27,Facebook,14819284
2021-09-03,Facebook,14859073
2021-09-10,Facebook,14895455
2021-09-17,Facebook,14948257
