Week,artist,search_popularity_trends
2023-01-01,BTS,99
2023-01-08,BTS,99
2023-01-15,BTS,85
2023-01-22,BTS,83
2023-01-29,BTS,91
2023-02-05,BTS,89
2023-02-12,BTS,85
2023-02-19,BTS,84
2023-02-26,BTS,82
2023-03-05,BTS,84
2023-03-12,BTS,82
2023-03-19,BTS,81
2023-03-26,BTS,78
2023-04-02,BTS,79
2023-04-09,BTS,77
2023-04-16,BTS,79
2023-04-23,BTS,77
2023-04-30,BTS,76
2023-05-07,BTS,80
2023-05-14,BTS,81
2023-05-21,BTS,74
2023-05-28,BTS,87
2023-06-04,BTS,88
2023-06-11,BTS,100
2023-06-18,BTS,77
2023-06-25,BTS,75
2023-07-02,BTS,77
2023-07-09,BTS,84
2023-07-16,BTS,65
2023-07-23,BTS,63
2023-07-30,BTS,62
2023-08-06,BTS,68
2023-08-13,BTS,61
2023-08-20,BTS,59
2023-08-27,BTS,65
2023-09-03,BTS,59
2023-09-10,BTS,59
2023-09-17,BTS,66
2023-09-24,BTS,59
2023-10-01,BTS,59
2023-10-08,BTS,57
2023-10-15,BTS,56
2023-10-22,BTS,60
2023-10-29,BTS,51
2023-11-05,BTS,52
2023-11-12,BTS,55
2023-11-19,BTS,60
2023-11-26,BTS,57
2023-12-03,BTS,63
2023-12-10,BTS,66
2023-12-17,BTS,57
2023-12-24,BTS,69
2023-12-31,BTS,61
2024-01-07,BTS,52
2024-01-14,BTS,52
2024-01-21,BTS,49
2024-01-28,BTS,49
2024-02-04,BTS,47
2024-02-11,BTS,49
2024-02-18,BTS,45
2024-02-25,BTS,46
2024-03-03,BTS,47
2024-03-10,BTS,43
2024-03-17,BTS,47
2024-03-24,BTS,54
2024-03-31,BTS,52
2024-04-07,BTS,48
2024-04-14,BTS,51
2024-04-21,BTS,48
2024-04-28,BTS,48
2024-05-05,BTS,48
2024-05-12,BTS,48
2024-05-19,BTS,49
2024-05-26,BTS,52
2024-06-02,BTS,54
2024-06-09,BTS,65
2024-06-16,BTS,51
2024-06-23,BTS,46
2024-06-30,BTS,44
2024-07-07,BTS,48
2024-07-14,BTS,46
2024-07-21,BTS,43
2024-07-28,BTS,43
2024-08-04,BTS,46
2024-08-11,BTS,48
2024-08-18,BTS,44
2024-08-25,BTS,47
2023-01-01,EXO,11
2023-01-08,EXO,11
2023-01-15,EXO,9
2023-01-22,EXO,9
2023-01-29,EXO,9
2023-02-05,EXO,10
2023-02-12,EXO,9
2023-02-19,EXO,10
2023-02-26,EXO,9
2023-03-05,EXO,9
2023-03-12,EXO,11
2023-03-19,EXO,11
2023-03-26,EXO,10
2023-04-02,EXO,12
2023-04-09,EXO,12
2023-04-16,EXO,11
2023-04-23,EXO,10
2023-04-30,EXO,11
2023-05-07,EXO,11
2023-05-14,EXO,10
2023-05-21,EXO,10
2023-05-28,EXO,12
2023-06-04,EXO,11
2023-06-11,EXO,12
2023-06-18,EXO,9
2023-06-25,EXO,10
2023-07-02,EXO,11
2023-07-09,EXO,15
2023-07-16,EXO,13
2023-07-23,EXO,11
2023-07-30,EXO,11
2023-08-06,EXO,10
2023-08-13,EXO,10
2023-08-20,EXO,10
2023-08-27,EXO,10
2023-09-03,EXO,9
2023-09-10,EXO,9
2023-09-17,EXO,9
2023-09-24,EXO,9
2023-10-01,EXO,9
2023-10-08,EXO,8
2023-10-15,EXO,8
2023-10-22,EXO,10
2023-10-29,EXO,8
2023-11-05,EXO,8
2023-11-12,EXO,8
2023-11-19,EXO,9
2023-11-26,EXO,9
2023-12-03,EXO,9
2023-12-10,EXO,9
2023-12-17,EXO,10
2023-12-24,EXO,10
2023-12-31,EXO,9
2024-01-07,EXO,8
2024-01-14,EXO,8
2024-01-21,EXO,8
2024-01-28,EXO,8
2024-02-04,EXO,8
2024-02-11,EXO,7
2024-02-18,EXO,8
2024-02-25,EXO,8
2024-03-03,EXO,8
2024-03-10,EXO,8
2024-03-17,EXO,10
2024-03-24,EXO,15
2024-03-31,EXO,13
2024-04-07,EXO,11
2024-04-14,EXO,11
2024-04-21,EXO,10
2024-04-28,EXO,10
2024-05-05,EXO,9
2024-05-12,EXO,9
2024-05-19,EXO,9
2024-05-26,EXO,9
2024-06-02,EXO,9
2024-06-09,EXO,9
2024-06-16,EXO,9
2024-06-23,EXO,9
2024-06-30,EXO,8
2024-07-07,EXO,8
2024-07-14,EXO,8
2024-07-21,EXO,8
2024-07-28,EXO,8
2024-08-04,EXO,8
2024-08-11,EXO,7
2024-08-18,EXO,8
2024-08-25,EXO,8
2023-01-01,BLACKPINK,44
2023-01-08,BLACKPINK,43
2023-01-15,BLACKPINK,39
2023-01-22,BLACKPINK,38
2023-01-29,BLACKPINK,44
2023-02-05,BLACKPINK,44
2023-02-12,BLACKPINK,33
2023-02-19,BLACKPINK,35
2023-02-26,BLACKPINK,38
2023-03-05,BLACKPINK,50
2023-03-12,BLACKPINK,63
2023-03-19,BLACKPINK,50
2023-03-26,BLACKPINK,49
2023-04-02,BLACKPINK,45
2023-04-09,BLACKPINK,46
2023-04-16,BLACKPINK,59
2023-04-23,BLACKPINK,56
2023-04-30,BLACKPINK,47
2023-05-07,BLACKPINK,42
2023-05-14,BLACKPINK,48
2023-05-21,BLACKPINK,47
2023-05-28,BLACKPINK,43
2023-06-04,BLACKPINK,42
2023-06-11,BLACKPINK,65
2023-06-18,BLACKPINK,42
2023-06-25,BLACKPINK,48
2023-07-02,BLACKPINK,48
2023-07-09,BLACKPINK,42
2023-07-16,BLACKPINK,41
2023-07-23,BLACKPINK,52
2023-07-30,BLACKPINK,54
2023-08-06,BLACKPINK,51
2023-08-13,BLACKPINK,41
2023-08-20,BLACKPINK,38
2023-08-27,BLACKPINK,36
2023-09-03,BLACKPINK,30
2023-09-10,BLACKPINK,30
2023-09-17,BLACKPINK,40
2023-09-24,BLACKPINK,31
2023-10-01,BLACKPINK,29
2023-10-08,BLACKPINK,25
2023-10-15,BLACKPINK,25
2023-10-22,BLACKPINK,24
2023-10-29,BLACKPINK,24
2023-11-05,BLACKPINK,23
2023-11-12,BLACKPINK,24
2023-11-19,BLACKPINK,29
2023-11-26,BLACKPINK,25
2023-12-03,BLACKPINK,28
2023-12-10,BLACKPINK,24
2023-12-17,BLACKPINK,23
2023-12-24,BLACKPINK,28
2023-12-31,BLACKPINK,27
2024-01-07,BLACKPINK,22
2024-01-14,BLACKPINK,22
2024-01-21,BLACKPINK,21
2024-01-28,BLACKPINK,20
2024-02-04,BLACKPINK,21
2024-02-11,BLACKPINK,20
2024-02-18,BLACKPINK,19
2024-02-25,BLACKPINK,19
2024-03-03,BLACKPINK,19
2024-03-10,BLACKPINK,18
2024-03-17,BLACKPINK,18
2024-03-24,BLACKPINK,21
2024-03-31,BLACKPINK,19
2024-04-07,BLACKPINK,19
2024-04-14,BLACKPINK,19
2024-04-21,BLACKPINK,19
2024-04-28,BLACKPINK,20
2024-05-05,BLACKPINK,19
2024-05-12,BLACKPINK,17
2024-05-19,BLACKPINK,19
2024-05-26,BLACKPINK,18
2024-06-02,BLACKPINK,17
2024-06-09,BLACKPINK,17
2024-06-16,BLACKPINK,18
2024-06-23,BLACKPINK,21
2024-06-30,BLACKPINK,20
2024-07-07,BLACKPINK,19
2024-07-14,BLACKPINK,18
2024-07-21,BLACKPINK,20
2024-07-28,BLACKPINK,22
2024-08-04,BLACKPINK,22
2024-08-11,BLACKPINK,18
2024-08-18,BLACKPINK,17
2024-08-25,BLACKPINK,15
2023-01-01,TWICE,20
2023-01-08,TWICE,15
2023-01-15,TWICE,17
2023-01-22,TWICE,17
2023-01-29,TWICE,16
2023-02-05,TWICE,15
2023-02-12,TWICE,14
2023-02-19,TWICE,18
2023-02-26,TWICE,16
2023-03-05,TWICE,20
2023-03-12,TWICE,21
2023-03-19,TWICE,25
2023-03-26,TWICE,17
2023-04-02,TWICE,16
2023-04-09,TWICE,17
2023-04-16,TWICE,16
2023-04-23,TWICE,19
2023-04-30,TWICE,17
2023-05-07,TWICE,18
2023-05-14,TWICE,19
2023-05-21,TWICE,19
2023-05-28,TWICE,16
2023-06-04,TWICE,17
2023-06-11,TWICE,20
2023-06-18,TWICE,17
2023-06-25,TWICE,18
2023-07-02,TWICE,19
2023-07-09,TWICE,16
2023-07-16,TWICE,14
2023-07-23,TWICE,13
2023-07-30,TWICE,14
2023-08-06,TWICE,12
2023-08-13,TWICE,14
2023-08-20,TWICE,13
2023-08-27,TWICE,16
2023-09-03,TWICE,16
2023-09-10,TWICE,16
2023-09-17,TWICE,14
2023-09-24,TWICE,13
2023-10-01,TWICE,13
2023-10-08,TWICE,10
2023-10-15,TWICE,11
2023-10-22,TWICE,11
2023-10-29,TWICE,11
2023-11-05,TWICE,11
2023-11-12,TWICE,11
2023-11-19,TWICE,11
2023-11-26,TWICE,11
2023-12-03,TWICE,12
2023-12-10,TWICE,15
2023-12-17,TWICE,14
2023-12-24,TWICE,17
2023-12-31,TWICE,16
2024-01-07,TWICE,12
2024-01-14,TWICE,11
2024-01-21,TWICE,11
2024-01-28,TWICE,15
2024-02-04,TWICE,17
2024-02-11,TWICE,12
2024-02-18,TWICE,13
2024-02-25,TWICE,13
2024-03-03,TWICE,14
2024-03-10,TWICE,14
2024-03-17,TWICE,14
2024-03-24,TWICE,14
2024-03-31,TWICE,14
2024-04-07,TWICE,12
2024-04-14,TWICE,11
2024-04-21,TWICE,12
2024-04-28,TWICE,12
2024-05-05,TWICE,11
2024-05-12,TWICE,11
2024-05-19,TWICE,11
