Country,SpotifyML,SpotifyMLevo%,Youtubeviews,Youtubeviewsevo %,Instagramfollowers,Instagramfollowersevo%,Population,InterestSearch
Afghanistan,,,,,,,42647492,73
Algeria,,,,,,,46814308,17
Argentina,129628,3.02,6941532,-3.27,1117934,-15.89,45696159,15
Australia,504635,1.21,0,0,0,0,26713205,7
Austria,,,,,,,9120813,5
Azerbaijan,,,,,,,10336577,18
China,0,0,0,0,1260668,20.24,1419321278,
Bangladesh,0,0,2104331,383.29,0,0,173562364,52
Belarus,,,,,,,9056696,14
Belgium,,,,,,,11738763,5
Bolivia,,,,,,,12413315,34
Ireland,157161,3.4,0,0,0,0,5255017,20
Brazil,486918,1.97,21455222,-7.33,6041590,-2.09,211998573,20
Canada,144413,3.65,0,0,951411,,39742430,7
Chile,315442,1.39,436358,234.49,927622,-10.1,19764771,16
Colombia,160650,0.57,3617573,126.33,761174,,52886363,16
Colombia,,,,,,,52886363,
Costa Rica,,,,,,,5129910,21
Cuba,,,,,,,10979783,74
Czech Republic,,,,,,,10735859,6
Denmark,,,,,,,5977412,5
Dominican Republic,,,,,,,11427557,14
Ecuador,,,,,,,18135478,25
Egypt,,,,,,,116538258,12
Thailand,407031,-1.72,6513716,-1.63,2473684,-11.25,71668011,
El Salvador,,,,,,,6338193,40
Finland,,,,,,,5617310,5
France,133272,3.86,124775,,1260668,4.83,66548530,6
Germany,,,,,,,84552242,6
Greece,,,,,,,10047817,6
Andorra,,,,,,,81938,
Guatemala,,,,,,,18406359,32
Honduras,,,,,,,10825703,33
Antigua and Barbuda,,,,,,,93772,
Anguilla,,,,,,,14598,
Albania,,,,,,,2791765,
Armenia,,,,,,,2973840,
Netherlands Antilles,,,,,,,,
Angola,,,,,,,37885849,
Antarctica,,,,,,,,
American Samoa,,,,,,,46765,
Hong Kong,,,,,,,7414909,16
Aruba,,,,,,,108066,9
Hungary,,,,,,,9676135,9
Bosnia and Herzegovina,,,,,,,3164253,9
Barbados,,,,,,,282467,
India,1481788,-0.25,16716453,-10.91,1712585,12.31,1450935791,28
Burkina Faso,,,,,,,23548781,
Bulgaria,,,,,,,6757689,
Bahrain,,,,,,,1607049,
Burundi,,,,,,,14047786,
Benin,,,,,,,14462724,
Saint Barthelemy,,,,,,,11258,
